name,roll,branch,startYear,currentCourses,completedCourses
student81,20927,csai,2022,dbms;ga;math,45678:8.682642;56789:6.515876;23456:6.498373
student82,22407,ece,2022,dbms,23456:6.468008
student83,21172,csai,2020,os,12345:6.714609
student84,22897,csss,2024,os;ga,12345:9.314107;34567:8.849691;56789:9.048449
student85,21355,csd,2020,math,34567:8.616618
student86,20035,csam,2022,dbms;oopd;ml,23456:7.482471
student87,20422,ece,2024,oopd,12345:7.358896;23456:7.608933
student88,20975,csai,2020,dbms;os,12345:5.545670;45678:6.933215
student89,21752,cse,2021,ml;ga;oopd,23456:9.512015;12345:9.502140;34567:8.258370
student90,20591,ece,2022,ml;os,23456:6.973388;12345:9.439292;34567:5.923418
student91,20910,csss,2021,ga,45678:9.970257;56789:9.105419;34567:7.769851
student92,21079,ece,2021,ml,23456:7.405566
student93,22665,csai,2020,ml,34567:9.773018
student94,20499,csam,2024,ga;math;dbms,12345:6.685969;34567:8.411960;45678:6.645188
student95,22168,csai,2021,math;ml,56789:8.134042
student96,22749,csai,2020,dbms;oopd;ml,23456:5.644238;34567:8.252420;12345:7.138233
student97,20994,cse,2024,ml;dbms;oopd,45678:5.861161
student98,22845,cse,2024,math,12345:5.846544;56789:7.241533
student99,20073,csai,2020,ml;dbms,45678:5.708323;34567:8.501419
student100,21706,cse,2023,dbms;oopd;os,56789:8.110566;45678:5.383508;12345:5.906125
student101,20628,csam,2023,ga;math;os,34567:8.487527;56789:8.832459;23456:9.545165
student102,22078,csam,2021,ga;ml,23456:6.693025;34567:5.047186;12345:5.109279
student103,21965,csai,2023,oopd;dbms;os,34567:5.553502;23456:9.277593
student104,22500,ece,2023,oopd,45678:6.172603;34567:5.357704;12345:5.573097
student105,22165,csd,2021,ml;math,56789:7.959243
student106,21445,csd,2023,math;ga,23456:7.697538;34567:5.081705
student107,21269,cse,2023,oopd;ml,23456:7.137244
student108,20057,cse,2024,dbms;oopd,12345:5.038742
student109,20972,csss,2020,os,12345:6.234797;23456:6.140433;45678:7.476232
student110,20287,csai,2020,math,45678:7.084069
student111,21264,csd,2024,math,12345:5.251814;34567:9.203158;56789:5.140805
student112,22088,ece,2023,math,34567:6.670921;56789:5.448276;45678:6.456556
student113,22310,csd,2021,os;oopd,23456:8.076337;12345:5.708525;34567:7.829421
student114,22235,ece,2020,math;os,56789:6.050294;45678:6.423507;23456:9.297474
student115,22531,ece,2022,ml;oopd,23456:6.252962;34567:5.160136;45678:7.356032
student116,21308,csai,2023,ml;math;ga,23456:5.081012;12345:6.221753
student117,21635,csd,2023,dbms,56789:6.881880;12345:8.568884
student118,20012,cse,2024,oopd,23456:5.404217;34567:5.480847;45678:6.211459
student119,20839,csss,2020,os,56789:5.891760;12345:7.807633;34567:7.820741
student120,22434,csss,2020,dbms;os,45678:5.331488
student121,20663,ece,2020,dbms;ga,34567:9.649825
student122,21892,csam,2024,dbms;math;ml,34567:6.667394;23456:7.096939
student123,21150,csss,2022,oopd;ml,56789:8.366134
student124,21540,ece,2024,oopd;ga,45678:8.589638;12345:6.920899;56789:9.152363
student125,21925,csam,2023,ml;math,56789:9.216597
student126,22820,csai,2023,ga;dbms;oopd,45678:9.526696
student127,21037,csai,2022,ga,45678:8.853737;23456:9.025589;34567:9.896376
student128,22315,csam,2020,dbms;os,12345:7.657448
student129,21559,csd,2020,os,56789:6.477344;23456:8.908859;45678:8.388399
student130,20279,csam,2024,ga;math,34567:8.693080
student131,22261,cse,2022,os;ga,12345:8.113147;56789:7.045167
student132,20371,csai,2020,dbms;oopd;ga,45678:7.919231;56789:7.377569;34567:9.622411
student133,20244,csai,2022,ml;os;oopd,56789:8.575874;34567:8.251767;45678:5.587457
student134,20133,csd,2023,ml;ga;oopd,56789:5.485879;45678:5.006251;23456:8.290510
student135,21121,csai,2022,ga;oopd,12345:9.394551;23456:8.055099;45678:6.037384
student136,21851,csss,2021,dbms,56789:8.684584;34567:5.885431;45678:6.243323
student137,22336,csai,2024,oopd;math,56789:5.020728;23456:8.591028
student138,22044,csam,2024,ga,56789:7.816248
student139,20454,cse,2022,dbms,56789:7.198417;45678:8.246573;34567:6.758796
student140,22489,csd,2024,ga;math,12345:6.543464
student141,21738,csam,2021,ml;dbms,56789:7.651222;12345:8.418744
student142,22526,ece,2024,ga;os;oopd,56789:9.444938
student143,22464,ece,2021,ga;dbms,34567:8.569153;23456:9.372437
student144,21187,csam,2020,os,56789:8.783031
student145,21905,csam,2022,math;oopd;ga,56789:5.169273;45678:9.436704;23456:7.888995
student146,21233,csss,2022,ga;os,23456:5.009336;12345:8.517020
student147,20976,csss,2021,ga;dbms;os,23456:6.644456;56789:9.677624
student148,21712,ece,2023,math;ga;os,34567:8.113309;56789:6.578195
student149,21991,csam,2021,ga;os,23456:8.254885;12345:8.331656;34567:9.278855
student150,21204,cse,2020,oopd;dbms;os,23456:9.861870;12345:8.723337
student151,22887,csam,2022,os;oopd,23456:8.435114;45678:7.569789;34567:8.161218
student152,21528,csss,2021,os;math,56789:6.800229
student153,21013,cse,2020,oopd;dbms,23456:6.205215
student154,22104,cse,2020,math,23456:6.139110
student155,21261,csd,2024,oopd,12345:7.132438
student156,22330,csai,2021,ga;oopd,23456:9.918502;56789:8.820193
student157,20189,cse,2023,math;oopd;dbms,23456:8.630306;56789:6.435913
student158,21303,csam,2021,ml;dbms;os,23456:8.502896;12345:9.223756
student159,21317,csai,2022,ml;os,56789:9.430704;34567:7.941685
student160,20097,csai,2021,dbms;os,45678:8.801217
student161,22512,csd,2020,math;dbms,12345:6.746624
student162,21658,csai,2020,os;ml,23456:9.449197;56789:5.941051;45678:8.145444
student163,21420,ece,2024,os,45678:5.359465
student164,21100,csd,2022,os;dbms,56789:9.641257;23456:7.086088;12345:7.120281
student165,20699,csai,2020,ga,12345:5.606994;34567:9.500188
student166,21357,ece,2024,ml,56789:8.614013;45678:6.874519
student167,20144,csam,2024,ml;math;ga,45678:9.608258
student168,22003,cse,2024,os;dbms;oopd,34567:9.977548
student169,20444,ece,2023,os,34567:8.025952;56789:9.765237;23456:6.128075
student170,21615,csam,2020,dbms;math;ga,12345:7.476490;23456:7.120633
student171,22412,ece,2022,math;ga;ml,56789:8.581453;45678:7.120245
student172,22861,csam,2024,dbms;oopd;os,23456:9.913010
student173,20285,csd,2020,dbms,56789:8.574407
student174,20488,csai,2022,math;dbms,45678:5.995052;12345:9.217655;34567:8.123560
student175,21198,csd,2023,ga;ml,45678:5.486247;23456:6.713349
student176,21833,csai,2024,os;math,56789:8.268676;45678:6.227976;23456:7.013420
student177,21335,csss,2020,ml,34567:7.528569;12345:6.795184
student178,22576,csd,2020,ml;os;dbms,23456:6.891741
student179,20171,csss,2021,oopd;math;ga,12345:9.839901;45678:6.259505;23456:5.311908
student180,21122,cse,2024,math;oopd,56789:7.023692
student181,20928,csss,2022,math;oopd,12345:7.005136;56789:6.470115;23456:6.177252
student182,22619,csai,2023,os;ml,12345:9.750588
student183,20476,csam,2023,os;ml,12345:7.791455;23456:5.795962;56789:7.501368
student184,21987,cse,2022,os;dbms;oopd,34567:7.664154
student185,20438,csss,2022,ga;math,56789:5.910524;45678:7.711072;34567:7.377445
student186,21809,csai,2024,oopd,34567:6.027610;45678:6.870890
student187,20106,csss,2023,ga;os;ml,23456:7.166375;12345:9.549894
student188,20315,csd,2022,os;math,56789:8.509689
student189,20429,csai,2022,dbms,12345:8.921564
student190,20896,csai,2020,dbms;ga,45678:7.050498;23456:8.443942
student191,21671,csss,2024,dbms;os,12345:5.940348;56789:7.503091
student192,21188,csam,2023,oopd,45678:6.155504;23456:8.531097;34567:9.040803
student193,20926,csam,2024,math;os;dbms,45678:5.288079;56789:9.748536;12345:5.364762
student194,21732,csss,2022,oopd;ga,23456:8.220265;34567:6.681319;12345:8.652441
student195,20021,csai,2022,oopd;os,45678:6.400496;34567:8.135013;56789:5.008157
student196,21662,csd,2023,ml,34567:8.879579
student197,22929,csai,2023,math;ml;dbms,45678:7.503029
student198,22467,csam,2023,math;ml;ga,56789:8.177325;45678:8.783699
student199,20850,csai,2021,oopd;ga,34567:6.001856;12345:6.863243
student200,20669,csam,2023,os;ml,45678:6.376921;34567:6.942021;23456:7.359873
student201,21191,csss,2024,ml;dbms,56789:6.522872
student202,20239,ece,2021,oopd;dbms;ga,34567:6.923677
student203,22393,csai,2022,ga;math,23456:6.508004;56789:9.325682
student204,20248,csam,2024,ga,34567:8.714850;45678:7.325719
student205,20148,cse,2023,ga;dbms,23456:8.458733
student206,22910,csss,2023,ga,12345:8.419434;23456:9.947514
student207,21119,cse,2020,ml,45678:7.607203;56789:6.874695
student208,20677,cse,2020,ga;ml,12345:6.519427
student209,22602,cse,2024,ga,23456:8.337217;56789:5.389820
student210,20060,cse,2023,dbms;os;ga,12345:6.172535
student211,22354,csam,2021,os;oopd;math,45678:5.863346;12345:7.104257
student212,22663,csai,2021,math;os,12345:5.957389;56789:6.436307
student213,20564,csam,2023,math,56789:7.634757;45678:6.728069;34567:9.314710
student214,22440,csss,2021,oopd;dbms;math,23456:5.337268
student215,22202,csai,2021,dbms;ga,34567:5.243776
student216,22291,ece,2023,ga;oopd,34567:8.174624;45678:6.462487;56789:8.641078
student217,21103,csam,2024,oopd;ga,12345:7.557890
student218,21442,ece,2022,ml,34567:6.471583;23456:9.657529
student219,22355,csd,2024,math;ga;dbms,56789:8.180525;12345:6.836055;34567:8.850527
student220,21980,ece,2020,math;ga,23456:5.897378;34567:7.036475;12345:7.282003
student221,22764,csam,2023,os,34567:5.363505;12345:6.397002
student222,21216,ece,2023,ml;oopd;dbms,34567:9.351853
student223,20899,ece,2022,ga,23456:6.110181;12345:5.847929
student224,20441,csam,2024,math;os;ga,23456:9.063777;34567:8.543225;12345:8.900297
student225,20459,csd,2023,ml,34567:8.718954;12345:6.390096
student226,20884,ece,2023,dbms;os,45678:6.179113
student227,22208,cse,2024,math;os;dbms,56789:9.505833;12345:9.531424
student228,21059,csd,2024,ml;os,23456:7.208745;34567:5.037081;56789:8.739622
student229,21771,csd,2022,ml;math;os,23456:8.937424;12345:9.578680;34567:8.088516
student230,22449,csam,2023,ga;oopd,56789:9.077950
student231,22836,csam,2024,ml;math,56789:5.896507;34567:8.235454;23456:8.776812
student232,21131,cse,2023,dbms,12345:8.780859;34567:6.073287;45678:9.951137
student233,20473,ece,2022,math;oopd;ga,34567:9.938093
student234,22899,cse,2022,ml;math;oopd,45678:7.966736;34567:5.386777
student235,20725,csai,2024,dbms;ml;ga,34567:7.582841;12345:5.579818
student236,20523,csd,2024,dbms;os;oopd,23456:8.222885;56789:7.711015;45678:6.470694
student237,21190,csss,2022,os;dbms,12345:6.607633;45678:5.396914;23456:8.941462
student238,20107,csd,2023,oopd;dbms;ml,45678:7.416558;34567:9.582732;56789:7.668185
student239,21331,csd,2022,os;oopd,34567:6.571074
student240,20495,ece,2021,ml;dbms;oopd,56789:7.882733;34567:7.690761;23456:6.820810
student241,20805,csss,2022,oopd;ga;math,23456:5.339110;12345:8.202031
student242,21686,csss,2024,ga;ml;oopd,56789:7.611515;45678:6.058903
student243,21425,csd,2022,dbms;os;ml,45678:6.004342;12345:7.429711;34567:5.068660
student244,20730,csss,2024,ga,56789:8.554539
student245,20253,csss,2024,os;ga;ml,34567:6.712545
student246,22424,csss,2022,ga;ml;math,45678:7.095860
student247,21886,cse,2024,math,23456:5.910864
student248,22280,ece,2023,ml;math;ga,23456:8.187034
student249,20382,csd,2024,os;oopd;ga,12345:5.569258;45678:5.021586
student250,21052,csai,2023,ml;ga,56789:5.039397;12345:9.117188
student251,22933,ece,2022,os;oopd,56789:8.305770
student252,22916,cse,2023,ml,34567:5.888766;45678:5.022287
student253,20650,csd,2021,ga;math,56789:7.218757;12345:5.378347
student254,21193,csd,2024,os,12345:8.334880;34567:9.370371;45678:6.493916
student255,22582,csss,2024,ga,12345:8.071104;45678:7.459811
student256,21950,csai,2020,ga;oopd;math,23456:7.146344
student257,20116,csai,2021,math;dbms;ml,56789:5.234969;23456:9.266638;34567:9.508442
student258,21572,cse,2022,ga;os,12345:6.300936;56789:6.688077
student259,22707,ece,2023,os;dbms,56789:8.967343
student260,20913,csam,2020,oopd;dbms;os,23456:7.952975;56789:7.399626
student261,21792,csd,2023,math;ga,34567:7.652280
student262,21292,csam,2023,os,23456:7.491371
student263,21378,csss,2021,oopd,45678:8.058642
student264,21511,ece,2021,oopd,45678:5.645029
student265,22979,cse,2020,ml;os;oopd,56789:8.102502;45678:7.483144;23456:9.750783
student266,20746,csss,2023,ml;dbms,12345:6.512388
student267,21386,cse,2024,oopd,45678:6.782544;56789:8.067799;12345:8.665206
student268,22876,ece,2022,os;oopd,23456:5.093157
student269,22083,csai,2022,ml,12345:6.974619;23456:6.911128;45678:8.684210
student270,22888,csam,2020,math,56789:5.326469;12345:9.795322
student271,21526,csss,2023,ga;dbms;os,56789:6.711192
student272,21826,csss,2023,os;dbms;ga,23456:9.616016
student273,21691,csai,2021,os;ml,23456:5.420925;34567:5.025965
student274,21253,csai,2021,math;dbms;oopd,56789:9.418875;45678:7.779964;23456:9.888122
student275,21215,csam,2020,os;oopd,23456:9.556628;45678:8.867871
student276,20493,csam,2023,oopd;ml,34567:9.329695;45678:8.122505
student277,21676,csss,2023,ga;oopd,45678:7.514023
student278,22245,csam,2023,ml,45678:8.104775;12345:6.998735
student279,22030,csam,2024,math;dbms;os,23456:9.874785;34567:7.544557;45678:7.480307
student280,22847,cse,2022,ml,56789:7.728261
student281,20828,csss,2023,dbms;ml;math,45678:7.327379;56789:9.878692
student282,21534,cse,2020,os,34567:9.773517;56789:8.510770
student283,20023,csss,2020,ml;oopd;math,56789:8.617766;23456:9.415131;45678:5.123685
student284,21989,cse,2024,os,12345:9.115269
student285,20617,csd,2020,dbms;oopd;ml,56789:9.589720;34567:5.732409;23456:5.495495
student286,22268,csss,2022,os;ga,12345:6.584971;45678:8.108841;56789:5.243363
student287,20939,cse,2023,ga;dbms,12345:8.515100;56789:5.508517;23456:7.598716
student288,22791,cse,2023,os,34567:6.034556;45678:6.883089;56789:7.203656
student289,20134,csss,2021,ml,56789:9.954848;23456:8.726747
student290,21093,csam,2024,ga;oopd;ml,56789:5.246477;12345:7.778245;34567:5.798615
student291,20989,csd,2023,os,56789:5.234001;12345:7.040254
student292,22052,cse,2021,math,45678:5.880999;12345:7.635551;23456:7.515635
student293,22620,ece,2024,os;oopd;dbms,23456:9.919003;56789:9.739937
student294,22241,csai,2023,os,45678:6.319600;23456:7.769732;34567:7.196793
student295,22036,cse,2024,math;ga;dbms,34567:9.146802;45678:9.836302
student296,22216,csss,2022,os,12345:5.596194;34567:8.274372;45678:8.844918
student297,21827,ece,2022,oopd;ga;math,56789:7.836246;45678:7.621806;34567:7.148839
student298,22177,csam,2024,os,56789:7.624321
student299,22925,csd,2024,ga,34567:9.222280;56789:6.657513;45678:9.931259
student300,20715,csai,2022,math;dbms,56789:9.640071;12345:9.373203
student301,20120,csss,2021,ga,34567:8.164533
student302,22519,csai,2020,oopd;ga,56789:6.265492;45678:5.439725
student303,21201,ece,2021,os,12345:8.450820;34567:8.332130
student304,20531,csd,2020,dbms,56789:7.473642
student305,20447,csam,2021,ml;oopd;dbms,45678:8.732083;12345:5.493562;34567:5.828126
student306,22621,ece,2020,oopd;os,34567:7.026255;56789:7.041884
student307,20149,ece,2022,dbms,56789:9.009765
student308,22765,cse,2020,math;os;oopd,23456:6.818326;34567:7.845002;56789:6.394579
student309,20661,cse,2024,os;dbms;ga,23456:7.772220;12345:5.374105;34567:8.257332
student310,21141,csai,2020,ml,45678:9.308338;12345:9.169453;34567:8.022713
student311,21690,csam,2020,oopd,12345:9.757986
student312,21437,csai,2024,ga;oopd,45678:6.256885;12345:8.699290;34567:7.908434
student313,20369,ece,2021,math;os;oopd,34567:6.387041;23456:5.086872;56789:5.953729
student314,22419,cse,2022,os,45678:5.633451;23456:8.167933
student315,22333,ece,2024,ga;math;os,23456:7.148335;12345:9.923980
student316,22943,csam,2021,dbms;os;math,45678:9.585061;34567:6.130461;23456:9.972239
student317,20240,csd,2024,os;dbms,34567:5.944545;12345:9.797829;45678:6.778640
student318,20505,csam,2022,math,45678:7.908920
student319,20259,csai,2024,oopd;ga,45678:6.361121;34567:6.642024;12345:7.078488
student320,20416,ece,2023,ga;math;oopd,34567:6.672843;23456:6.259975
student321,21160,csam,2021,oopd;os;ga,23456:7.374558;12345:6.661070
student322,20104,csss,2024,ga;ml;math,12345:9.462517;23456:7.419010
student323,22201,csam,2023,ml;oopd;ga,23456:8.957803;45678:9.170556
student324,21678,cse,2022,oopd;dbms,56789:8.808513
student325,22722,csai,2021,os;ml,12345:7.500470;34567:7.928625
student326,22694,csam,2023,ml;math,45678:5.366407;12345:6.879812
student327,20822,csai,2023,ml,34567:7.072185;23456:6.201966
student328,20964,ece,2020,ml;oopd;math,56789:6.598486
student329,21220,csai,2023,ga,45678:6.305444;12345:7.726524;56789:6.473677
student330,21359,csss,2023,ml;oopd;math,56789:6.721888;12345:9.524522;23456:5.439193
student331,22965,cse,2023,oopd,45678:9.552159;34567:5.120031
student332,21435,csam,2024,os;dbms;math,56789:6.372291
student333,21582,ece,2021,ml,56789:8.169829
student334,21592,cse,2020,ml;ga,56789:8.633495
student335,22318,cse,2021,math,34567:9.611600;45678:9.764905;23456:6.666584
student336,20962,csd,2021,ga;oopd;os,56789:9.200687
student337,21729,csam,2020,oopd;ml,23456:6.754155
student338,20867,csd,2022,oopd;ga,45678:5.184089;12345:6.492499
student339,22194,csam,2022,ml,45678:8.559202;34567:5.471762;56789:5.291536
student340,22732,ece,2021,os,56789:6.103510;34567:8.203527;45678:8.918177
student341,22406,csai,2020,oopd,56789:7.565813;45678:5.369127
student342,20796,ece,2022,ml;dbms;ga,45678:5.334188;56789:5.776514;34567:5.421331
student343,22372,csd,2020,math,12345:9.232231;23456:5.299831;56789:5.678034
student344,21693,csss,2022,oopd;math,56789:8.568531;34567:8.416864
student345,21231,csai,2020,oopd;os;math,45678:6.055978;12345:9.240382;34567:5.118717
student346,21875,csai,2023,ga;os;ml,56789:7.162513;12345:9.765455;34567:5.938945
student347,21340,ece,2021,ml,23456:8.455131
student348,20442,csd,2021,ga;dbms,23456:7.904362;12345:5.356001;34567:8.292654
student349,20089,csss,2022,dbms;oopd,23456:9.503239
student350,22040,ece,2022,math;oopd,56789:5.568255
student351,21661,csss,2021,ga;ml,12345:5.337189;34567:5.301788;56789:9.272125
student352,21975,csd,2023,ml;oopd,12345:8.806853;56789:8.049165
student353,22951,csam,2022,os;oopd;dbms,45678:8.536790;23456:8.772718
student354,20961,ece,2023,math,23456:5.181414;45678:8.385943;34567:7.469182
student355,20793,csam,2021,dbms;ml,23456:6.881305;34567:6.781520
student356,20264,cse,2020,ml,34567:6.086253
student357,20318,cse,2020,ml;math,45678:8.537093;34567:6.664892
student358,21698,csam,2020,ga;oopd;dbms,23456:6.825749;34567:8.885862;56789:8.194268
student359,22389,csd,2022,dbms;oopd,34567:7.383880
student360,21096,csam,2022,oopd;ml;ga,45678:6.462303;34567:9.419506
student361,21350,csss,2020,ga,34567:6.172357
student362,20750,ece,2024,math,45678:9.825264;56789:5.142452
student363,22065,ece,2022,oopd,23456:6.980859;56789:5.960638
student364,21403,csai,2024,ga,34567:9.399162;12345:9.246365
student365,21175,cse,2020,ga;math;dbms,23456:8.363557;34567:9.899267;12345:5.498033
student366,20410,cse,2020,ga;dbms;math,12345:7.303597;34567:6.685187
student367,20486,csd,2021,ga,12345:8.813655;23456:8.711746
student368,20056,csam,2021,ml,34567:9.427940;12345:7.090571
student369,20787,csai,2021,oopd;ga,56789:9.403549;45678:5.839991
student370,22990,csam,2022,ga,34567:7.137955
student371,20791,cse,2020,dbms;ml,45678:5.604914
student372,20434,ece,2022,math;ml;ga,23456:5.001933;34567:9.604504;45678:9.392891
student373,21652,csai,2024,oopd;os,34567:9.614865;56789:9.596459
student374,20963,cse,2024,ga;math,45678:5.248081
student375,21493,ece,2020,math;oopd;ga,56789:8.671320;34567:6.228903;45678:9.321985
student376,21244,csai,2023,os;oopd;dbms,45678:5.698216
student377,20558,csss,2022,dbms;math,45678:8.524421;12345:6.090190;23456:6.499262
student378,20882,csai,2023,os;oopd;dbms,23456:7.101128;34567:5.984884
student379,21470,cse,2020,os,56789:5.992131;45678:9.159229;23456:8.899420
student380,22605,cse,2020,ga,12345:8.994548
student381,22626,csai,2021,math,45678:5.935883;23456:5.232016;34567:7.459821
student382,20330,csd,2024,oopd;dbms,34567:7.246328;56789:9.655612
student383,22468,csam,2024,dbms;oopd;math,45678:8.581533;23456:8.665646;34567:8.340750
student384,22780,cse,2023,ga;dbms,34567:8.596254;23456:6.456452
student385,21081,csam,2021,ga,45678:9.867202;12345:8.227370
student386,21166,csss,2024,math;os;oopd,23456:9.498222;34567:8.398724;12345:5.679326
student387,21647,csd,2023,ml;oopd;dbms,23456:5.283643;12345:9.826238;45678:9.651257
student388,20843,csai,2021,ga,34567:5.907915
student389,21323,csam,2022,ga;dbms;oopd,56789:5.899027;34567:5.931650
student390,22946,csss,2023,ml;oopd;ga,34567:5.116171
student391,21849,cse,2021,oopd;math,12345:8.370726
student392,22878,csd,2021,ga;ml,12345:8.688891
student393,21948,csss,2020,ml;dbms;math,23456:8.236095;56789:9.097985
student394,22956,csai,2022,dbms,23456:8.096648;56789:6.684694
student395,21099,csai,2020,math;dbms,56789:8.623906;12345:7.844277;45678:5.088177
student396,21033,ece,2024,oopd;ml,34567:5.695764;12345:5.918433
student397,20866,csss,2020,ga,45678:8.195696;34567:8.709929
student398,21873,csai,2023,math;ml,34567:6.366921;56789:8.767580;23456:7.197554
student399,22733,ece,2020,math,56789:5.126779;12345:5.390028
student400,22640,csai,2020,math,45678:5.676496;23456:8.334437;56789:5.467341
student401,21272,ece,2021,oopd;dbms,12345:9.347550;56789:7.964096
student402,22151,ece,2024,math;dbms,34567:7.645177
student403,21972,cse,2021,ml;math,45678:5.673453;34567:7.054902
student404,21757,csss,2023,ga;ml,56789:8.374848;23456:7.354352;12345:8.798169
student405,21772,csss,2023,dbms,45678:6.378148;56789:5.863772;34567:8.320781
student406,20990,ece,2020,os,45678:5.342262;56789:7.493910;34567:5.190361
student407,21769,csam,2023,oopd;dbms,12345:9.875384;45678:9.166793
